objectType,prismaObject,sqlObject,createdByMigration,dependsOn,coverage,risk,notes
enum,LegalRuleStatus,LegalRuleStatus,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalSourceConfidence,LegalSourceConfidence,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalSourceRole,LegalSourceRole,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalSourceStatus,LegalSourceStatus,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalSourceType,LegalSourceType,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LegalTerritorialScope,LegalTerritorialScope,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,LivelloRischioDecadenza,LivelloRischioDecadenza,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ModuloImpattoNorma,ModuloImpattoNorma,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,NormaAmbito,NormaAmbito,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,NormaRiferimento,NormaRiferimento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,OrigineProcedimento,OrigineProcedimento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,RemovableWorksProfile,RemovableWorksProfile,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,RuoloUser,RuoloUser,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,SeasonalityProfile,SeasonalityProfile,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,SourceRelationType,SourceRelationType,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoConcessione,StatoConcessione,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoCriticita,StatoCriticita,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoDocumento,StatoDocumento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoEffettoProcedimento,StatoEffettoProcedimento,20260802_p0d1_stato_effetto,,present-in-history,LOW,Created by existing migration.
enum,StatoNormaVersione,StatoNormaVersione,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoObbligo,StatoObbligo,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoPagamento,StatoPagamento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoPreavvisoRigetto,StatoPreavvisoRigetto,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoProcedimento,StatoProcedimento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,StatoScadenza,StatoScadenza,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,ThirdPartyManagementStatus,ThirdPartyManagementStatus,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipoDecisioneProcedimento,TipoDecisioneProcedimento,20260727_decisione_procedimento_minima,,present-in-history,LOW,Created by existing migration.
enum,TipologiaBene,TipologiaBene,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipologiaCriticita,TipologiaCriticita,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipologiaDocumento,TipologiaDocumento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipologiaObbligo,TipologiaObbligo,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipologiaProcedimento,TipologiaProcedimento,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipologiaReport,TipologiaReport,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
enum,TipologiaScadenza,TipologiaScadenza,,,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Ente,Ente,,ActivityLog;Concessione;DecisioneProcedimento;DocumentGap;Documento;ImportRun;LegalRule;LegalSource;Port;Report;TenantMembership,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Authority,Authority,,ImportRun;LegalSource;Port,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Port,Port,,Authority;DocumentGap;Ente;ImportRun;LegalRule;LegalSource;PortArea,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,PortArea,PortArea,,Port,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,ImportRun,ImportRun,,Authority;Ente;LegalSource;Port,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,LegalSource,LegalSource,,Authority;Ente;ImportRun;LegalRule;Port;SourceRelation,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,SourceRelation,SourceRelation,,LegalSource,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,LegalRule,LegalRule,,DocumentGap;Ente;LegalSource;Port,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,DocumentGap,DocumentGap,,Ente;LegalRule;Port,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,TenantMembership,TenantMembership,,Ente;User,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,User,User,,ActivityLog;DecisioneProcedimento;Documento;TenantMembership,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Concessionario,Concessionario,,Concessione,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Concessione,Concessione,,ActivityLog;Concessionario;ConcessioneLegalFramework;Criticita;DecisioneProcedimento;Documento;Ente;NormaImpatto;ObbligoConcessorio;Pagamento;Procedimento;Report;Scadenza;Sopralluogo,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,ConcessioneLegalFramework,ConcessioneLegalFramework,,Concessione,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,ObbligoConcessorio,ObbligoConcessorio,,Concessione,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Scadenza,Scadenza,,Concessione,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Criticita,Criticita,,Concessione;Documento;NormaImpatto;Procedimento,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Procedimento,Procedimento,,Concessione;Criticita;DecisioneProcedimento;Documento;NormaImpatto,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Sopralluogo,Sopralluogo,,Concessione;Documento,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Pagamento,Pagamento,,Concessione;Documento,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,Documento,Documento,,Concessione;Criticita;DecisioneProcedimento;Ente;Pagamento;Procedimento;Report;Sopralluogo;User,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,DecisioneProcedimento,DecisioneProcedimento,20260727_decisione_procedimento_minima,Concessione;Documento;Ente;Procedimento;User,present-in-history,HIGH,Created in history but depends on tables missing in history: Concessione;Documento;Ente;Procedimento;User.
model,Report,Report,,Concessione;Documento;Ente;NormaImpatto,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,NormaFonte,NormaFonte,,NormaImpatto;NormaVersione,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,NormaVersione,NormaVersione,,NormaFonte;NormaImpatto,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,NormaImpatto,NormaImpatto,,Concessione;Criticita;NormaFonte;NormaVersione;Procedimento;Report,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
model,ActivityLog,ActivityLog,,Concessione;Ente;User,missing-in-history,HIGH,Not created by migration history; requires baseline on empty DB.
